week,composite_score,mom_252_21,vol_20
2019-01-04,0.10324280953583125,0.034994012576838325,0.06768935062482727
2019-01-11,-0.013419482434568844,-0.04556358677311275,-0.01855680597373568
2019-01-18,0.008430292208076255,-0.019485508363401138,0.03690273516420129
2019-01-25,0.046269467901929325,0.002583076943087001,-0.043250348957266704
2019-02-01,,,
2019-02-15,-0.045615150035065576,-0.07072477994233368,0.05123115601688001
2019-02-22,0.07096620761120469,0.00994085944491994,-0.21173813137023859
2019-03-01,0.1477652258565,0.12397909478656456,-0.18728600311331586
2019-03-08,0.08143362641166833,0.10384592252433794,0.05156608016750979
2019-03-15,0.13434637890950532,0.09033631688598973,0.04950342177395877
2019-03-22,0.17809136928547536,0.19610199960595434,-0.20364014508393777
2019-03-29,-0.0398489699446436,-0.050558164299559456,0.1742905369515323
2019-04-05,-0.05832667612188472,-0.1030891133997129,-0.09337157443606282
2019-04-12,-0.011480682667723627,-0.056799458108576104,-0.09921853069327834
2019-04-19,0.10739225761126947,0.07580590289243047,-0.018331710939336096
2019-04-26,0.22602583298720455,0.17298478259454558,-0.2643906202664957
2019-05-03,0.21195230549139335,0.1850478764081798,-0.36356103097553855
2019-05-10,0.15613144819557673,0.14780583879950818,-0.24118253484029778
2019-05-17,0.15670346970267396,0.07374229521050724,-0.3492231231197244
2019-05-24,0.0706177922896463,0.04359062642973765,4.964896854314688e-05
2019-05-31,0.09379212167534441,0.03844407201648771,-0.17151607295971735
2019-06-07,0.06833612904459867,0.0901944949191451,0.21712383949734887
2019-06-14,0.0656961258136771,0.053777512487711746,0.19193672903334932
2019-06-21,0.07910610069997426,0.02869286557551935,-0.09642643528635264
2019-06-28,-0.07687409992314433,-0.04629616991947493,0.17937558531022993
2019-07-05,0.14432507677430367,0.13077269046146872,-0.04541839764971192
2019-07-12,0.03704678278703789,0.04232657313998131,-0.07055986906159882
2019-07-19,-0.012505946038036482,-0.03263787676124389,0.17401129644297203
2019-07-26,0.1588808698740661,0.17978669922337645,-0.1597330108006758
2019-08-02,0.25682573702448536,0.28078018981249686,-0.1743359447835718
2019-08-09,0.06073770206339401,0.06314345643467352,-0.02623858967942292
2019-08-16,-0.1247954358168953,-0.09782315751577965,0.24757462792052579
2019-08-23,0.10548473725001146,0.075004007079969,-0.13126011487415343
2019-08-30,-0.08592875053375573,-0.10785153228562964,0.19634742063893165
2019-09-06,0.020220490333387745,-0.02569339947206751,-0.13939517902044576
2019-09-13,0.010294353933935825,-0.030837133071198577,-0.14748996015229143
2019-09-20,-0.004891410964291356,0.004296576362985145,-0.02818795210246895
2019-09-27,0.08539113907658531,0.11139644581158778,-0.04127025468695425
2019-10-04,0.07259382547125966,0.06043093656413668,-0.13412353786972758
2019-10-11,0.11014020870880176,0.08804083305627576,0.11406691950996305
2019-10-18,0.09388012049607285,0.03851910103897574,0.04436465191868814
2019-10-25,0.0769276538531735,0.019768825428097794,-0.2153004448184671
2019-11-01,0.12403630125187175,0.049087784693132554,-0.1528480331829927
2019-11-08,0.11516416951916986,0.10310045099451803,-0.14516044254448487
2019-11-15,-0.028559258050455734,-0.006063167768714503,0.05705711902410323
2019-11-22,0.0757873322161777,0.026540353473039627,-0.0045749291073427425
2019-11-29,-0.017503450804481516,-0.05635463982286743,-0.12262892645333175
2019-12-06,0.04222095207331034,0.033350556828920644,-0.000860013639359138
2019-12-13,-0.004090961083328697,-0.050218541193218745,-0.060180481429526235
2019-12-20,0.018207173892743636,-0.017903752722466117,-0.06167550956004527
2019-12-27,-0.037420673386346553,-0.00047150868748984553,0.042361582310863025
2020-01-03,,,
